:nemesis	:info	:start-partition	:majorities-ring
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
2	:ok	:generate	1
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
